Name,Publications,Year,pdf,Data,taxonomy,comment,Area
Joint Modeling of Chest Radiographs and Radiology Reports for Pulmonary Edema Assessment,MICCAI,2021 (October),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Chauhan_et_al._-_2020_-_Joint_Modeling_of_Chest_Radiographs_and_Radiology_.pdf,CXR,base,"contrastive loss, together with classification loss of edema level",
GLoRIA: A Multimodal Global-Local Representation Learning Framework for Label-efficient Medical Image Recognition,ICCV,2021 (October),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Huang_et_al._-_2021_-_GLoRIA_A_Multimodal_Global-Local_Representation_L.pdf,CXR,fine-grained contrast,adopte weighted average image representation for each word representation,
Multimodal Representation Learning via Maximization of Local Mutual Information,MICCAI,2021 (October),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Liao_%25E7%25AD%2589_-_2021_-_Multimodal_Representation_Learning_via_Maximizatio.pdf,CXR,global-local,very similar. It choose argmax image representation instead of the weighted average version,
Contrastive Learning of Medical Visual Representations from Paired Images and Text,MLHC,2022 (arXiv 2020),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Zhang_et_al._-_2022_-_Contrastive_Learning_of_Medical_Visual_Representat.pdf,CXR,base,earlier than clip,
Multi-Granularity Cross-modal Alignment for Generalized Medical Visual Representation Learning,NIPS,2022 (December),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Wang_et_al._-_2022_-_Multi-Granularity_Cross-modal_Alignment_for_Genera.pdf,CXR,data-efficient,"perform hierarchical alignment at disease-level, instance-level, and pathological region-level",
MedCLIP: Contrastive Learning from Unpaired Medical Images and Text,EMNLP,2022 (December),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Wang_%25E7%25AD%2589_-_2022_-_MedCLIP_Contrastive_Learning_from_Unpaired_Medica.pdf,CXR,data-efficient,"idea from DeCLIP ",
The Role of Local Alignment and Uniformity in Image-Text Contrastive Learning on Medical Images,NIPS,2022 (December),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Mller_%25E7%25AD%2589_-_2023_-_The_Role_of_Local_Alignment_and_Uniformity_in_Imag.pdf,CXR,global-local related,It aruges that local contrast can be replaced by distribution prior,
Generalized radiograph representation learning via cross-supervision between images and free-text radiology reports,Nature Machine Intelligence,2022 (January),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Zhou_et_al._-_2022_-_Generalized_radiograph_representation_learning_via.pdf,CXR,base (multi-task)," add a report generation decoder.
report generation loss + clip loss",
Making the Most of Text Semantics to Improve Biomedical Vision–Language Processing,ECCV,2022 (October),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Boecking_et_al._-_2022_-_Making_the_Most_of_Text_Semantics_to_Improve_Biome.pdf,CXR,data-efficient,"BioVIL
data augmentation such as finding/impression shuffle",
Breaking with Fixed Set Pathology Recognition through Report-Guided Contrastive Training,MICCAI,2022 (October),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Seibold_%25E7%25AD%2589_-_2022_-_Breaking_with_Fixed_Set_Pathology_Recognition_thro.pdf,CXR,global-local,"global: image-report contrastive
local: image-sentence contrastive",
Joint Learning of Localized Representations from Medical Images and Reports,ECCV,2022 (October),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Mller_et_al._-_2021_-_Joint_Learning_of_Localized_Representations_from_M.pdf,CXR,global-local,"similar with GLoRIA. Instead fo weighted average representation, it adopts transformers QKV to compute cross-model local representation",
"Vision-Language Contrastive Learning
Approach to Robust Automatic Placenta
Analysis Using Photographic Images",MICCAI,2022 (September),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Vision_Language_Contrastive_Learning.pdf,placeta,fine-grained,,
"Align, Reason and Learn: Enhancing Medical Vision-and-Language Pre-training with Knowledge",ACM MM,2022 (September),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Chen_%25E7%25AD%2589_-_2022_-_Align_Reason_and_Learn_Enhancing_Medical_Vision-.pdf,CXR,knowledge-enhanced,guide the model to put emphasis on the most critical information in images and texts by designing knowledge-induced pretext tasks,
Towards Medical Artificial General Intelligence via Knowledge-Enhanced Multimodal Pretraining,,2023 (April),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Lin_%25E7%25AD%2589_-_2023_-_Towards_Medical_Artificial_General_Intelligence_vi.pdf,CXR,knowledge-enhanced,,
A Foundation LAnguage-Image model of the Retina (FLAIR): Encoding expert knowledge in text supervision,arXiv,2023 (August),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Silva-Rodriguez_%25E7%25AD%2589_-_2023_-_A_Foundation_LAnguage-Image_model_of_the_Retina_(F.pdf,Retina,knowledge,,
Advancing Radiograph Representation Learning with Masked Record Modeling,ICLR,2023 (February),%E5%8D%8E%E5%A4%8F%E4%B8%AD%E8%B7%AF%E5%B7%A5%E4%BD%9C%E5%AE%A4%20(clip%20survey)%204f00cf997b7641aebce31e6e6ce0e0ab/Zhou_%25E7%25AD%2589_-_2023_-_ADVANCING_RADIOGRAPH_REPRESENTATION_LEARN-_ING_WIT.pdf,CXR,fine-grained,,
